Этап;Сотрудник;Цена часа;Время в часах;Календарный срок в днях;Стоимость шага;Доля в выполнении;Удельное время;Удельная стоимость
ШАГ 1. Подтвердить актуальность конструкторской документации;;;;;;;;;
Запросить у КБ перечень действующих спецификаций и версий КД;Координатор;1100;1;1;1100;1;1;1100
Ожидание ответа от КБ;—;0;0;5;0;1;0;0
Направить напоминание КБ при отсутствии ответа;Координатор;1100;0.5;1;550;0.5;0.25;275
Получить перечень и проверить на полноту;Калькулятор;1200;6;1;7200;1;6;7200
Зафиксировать спецификации как базу расчёта;Калькулятор;1200;2;1;2400;1;2;2400
ИТОГО — ШАГ 1;;;9.5;9;11250;;9.25;10975
ШАГ 2. Подтвердить актуальность состава изделия;;;;;;;;;
Запросить у КБ подтверждение актуальности состава изделия и спецификаций;Координатор;1100;1;1;1100;1;1;1100
Ожидание ответа от КБ;—;0;0;5;0;1;0;0
Направить напоминание КБ при отсутствии ответа в срок;Координатор;1100;0.5;1;550;0.5;0.25;275
Получить ответ и зафиксировать отличия от предыдущего расчёта в составе изделия;Калькулятор;1200;5;1;6000;1;5;6000
Подтвердить что спецификации актуальны и можно переходить к сбору цен;Руководитель;2000;1;1;2000;1;1;2000
ИТОГО — ШАГ 2;;;7.5;9;9650;;7.25;9375
ШАГ 3. Уточнить перечень закупаемых материалов и комплектующих;;;;;;;;;
Выгрузить из спецификаций список покупных позиций с объёмами;Калькулятор;1200;6;1;7200;1;6;7200
Запросить у снабжения подтверждение объёмов и списка поставщиков;Ценовик;1200;1;1;1200;1;1;1200
Ожидание ответа от снабжения;—;0;0;5;0;1;0;0
Направить напоминание снабжению;Ценовик;1200;0.5;1;600;0.5;0.25;300
Сверить список с тем что реально проходит через производственный процесс;Ценовик;1200;5;1;6000;1;5;6000
Зафиксировать утверждённый перечень закупаемых позиций с объёмами;Ценовик;1200;1;1;1200;1;1;1200
ИТОГО — ШАГ 3;;;13.5;10;16200;;13.25;15900
ШАГ 4. Подготовить и направить запрос КП поставщикам;;;;;;;;;
Подготовить запрос КП (перечень позиций объёмы условия поставки дедлайн);Ценовик;1200;8;2;9600;1;8;9600
Разослать запрос утверждённым поставщикам;Ценовик;1200;4;1;4800;1;4;4800
Ожидание ответов поставщиков;—;0;0;10;0;1;0;0
Направить напоминание поставщикам не ответившим в срок;Ценовик;1200;2;1;2400;0.7;1.4;1680
Ожидание ответов после напоминания;—;0;0;5;0;0.7;0;0
Получить КП и проверить каждое на полноту (цены сроки партии условия);Ценовик;1200;12;2;14400;1;12;14400
Направить уточняющие запросы при неполноте или неясности КП;Ценовик;1200;3;1;3600;0.6;1.8;2160
Ожидание уточнений от поставщиков;—;0;0;5;0;0.6;0;0
Получить окончательные данные и подтвердить их достаточность;Ценовик;1200;2;1;2400;1;2;2400
ИТОГО — ШАГ 4;;;31;28;37200;;29.2;35040
ШАГ 5. Нормализовать цены и утвердить базовые закупочные цены;;;;;;;;;
Привести все КП к единой валюте по курсу на расчётную дату;Ценовик;1200;3;1;3600;1;3;3600
Добавить транспортные и прочие сопутствующие расходы к ценам;Ценовик;1200;4;1;4800;1;4;4800
Учесть условия минимальных партий и их влияние на удельную стоимость;Ценовик;1200;3;1;3600;1;3;3600
Сформировать сравнительную таблицу по поставщикам для ключевых позиций;Ценовик;1200;6;2;7200;1;6;7200
Выбрать и обосновать базовые цены по каждой позиции;Ценовик;1200;6;1;7200;1;6;7200
Передать базовые цены на согласование руководителю и финансовому отделу;Координатор;1100;1;1;1100;1;1;1100
Ожидание согласования базовых цен;—;0;0;3;0;1;0;0
Ответить на уточняющие вопросы по ценам;Ценовик;1200;2;1;2400;0.7;1.4;1680
Получить подтверждение базовых цен;Координатор;1100;0.5;1;550;1;0.5;550
Зафиксировать утверждённые цены в расчётных таблицах или системе;Калькулятор;1200;2;1;2400;1;2;2400
ИТОГО — ШАГ 5;;;27.5;13;32850;;26.9;32130
ШАГ 6. Обновить и подтвердить ставки оплаты труда и использования оборудования;;;;;;;;;
Направить запросы одновременно: в ОТиЗ — ставки труда по разрядам; в плановый отдел — ставки оборудования;Координатор;1100;1;1;1100;1;1;1100
Ожидание ответов от ОТиЗ и планового отдела;—;0;0;5;0;1;0;0
Направить напоминания при отсутствии ответа в срок;Координатор;1100;0.5;1;550;0.5;0.25;275
Получить ответы и сравнить ставки труда и оборудования с действующими в системе;Калькулятор;1200;3;1;3600;1;3;3600
Уточнить причины расхождений при их наличии;Координатор;1100;1;1;1100;0.5;0.5;550
Внести скорректированные ставки в учётную систему;Калькулятор;1200;2;1;2400;1;2;2400
ИТОГО — ШАГ 6;;;7.5;10;8750;;6.75;7925
ШАГ 7. Пересмотреть ставки распределения накладных расходов;;;;;;;;;
Запросить у ПЭО актуальные сметы и бюджеты по центрам затрат;Координатор;1100;1;1;1100;1;1;1100
Ожидание ответа от ПЭО;—;0;0;5;0;1;0;0
Направить напоминание ПЭО;Координатор;1100;0.5;1;550;0.5;0.25;275
Получить сметы и рассчитать ставки ОПР и ОХР по центрам затрат;Калькулятор;1200;8;2;9600;1;8;9600
Передать рассчитанные ставки на согласование плановому отделу и финансам;Координатор;1100;1;1;1100;1;1;1100
Ожидание согласования ставок;—;0;0;3;0;1;0;0
Ответить на уточняющие вопросы по ставкам;Калькулятор;1200;2;1;2400;0.6;1.2;1440
Получить подтверждение ставок;Координатор;1100;0.5;1;550;1;0.5;550
Зафиксировать утверждённые ставки в учётной системе;Калькулятор;1200;2;1;2400;1;2;2400
ИТОГО — ШАГ 7;;;15;16;17700;;13.95;16465
ШАГ 8. Рассчитать прямые материальные затраты по деталям и узлам;;;;;;;;;
Подготовить расчётные таблицы или настроить расчёт в учётной системе;Калькулятор;1200;4;1;4800;1;4;4800
Заполнить утверждёнными базовыми закупочными ценами;Калькулятор;1200;8;1;9600;1;8;9600
Выполнить расчёт по деталям сборочным единицам и узлам;Калькулятор;1200;4;1;4800;1;4;4800
Проверить результаты на аномалии;Калькулятор;1200;4;1;4800;1;4;4800
Устранить ошибки или объяснить обоснованные отклонения;Калькулятор;1200;4;1;4800;0.6;2.4;2880
ИТОГО — ШАГ 8;;;24;5;28800;;22.4;26880
ШАГ 9. Рассчитать прямые затраты труда и оборудования по маршрутам;;;;;;;;;
Выгрузить маршруты и нормы по всем позициям из системы;Калькулятор;1200;2;1;2400;1;2;2400
Применить актуальные ставки к нормо-часам и машино-часам;Калькулятор;1200;3;1;3600;1;3;3600
Рассчитать затраты по операциям узлам и тепловозу в целом;Калькулятор;1200;4;1;4800;1;4;4800
Проверить результаты на аномалии;Калькулятор;1200;3;1;3600;1;3;3600
Устранить ошибки или объяснить обоснованные отклонения;Калькулятор;1200;4;1;4800;0.6;2.4;2880
ИТОГО — ШАГ 9;;;16;5;19200;;14.4;17280
ШАГ 10. Распределить накладные расходы на изделие;;;;;;;;;
Применить ставки накладных к базам распределения по каждому центру затрат;Калькулятор;1200;3;1;3600;1;3;3600
Отнести накладные на уровень узлов и готового тепловоза;Калькулятор;1200;2;1;2400;1;2;2400
Проверить корректность разнесения — сверка суммы с бюджетом;Калькулятор;1200;2;1;2400;1;2;2400
ИТОГО — ШАГ 10;;;7;3;8400;;7;8400
ШАГ 11. Запустить пересчёт стандартной себестоимости в учётной системе;;;;;;;;;
Проверить полноту входных данных в системе;Калькулятор;1200;3;1;3600;1;3;3600
Запустить пересчёт стандартной себестоимости от деталей до готового тепловоза;Калькулятор;1200;2;1;2400;1;2;2400
Проверить журнал ошибок после расчёта;Калькулятор;1200;2;1;2400;1;2;2400
Устранить ошибки и перезапустить расчёт при необходимости;Калькулятор;1200;4;1;4800;0.4;1.6;1920
Выгрузить результаты расчёта для анализа;Калькулятор;1200;1;1;1200;1;1;1200
ИТОГО — ШАГ 11;;;12;5;14400;;9.6;11520
ШАГ 12. Проанализировать изменения себестоимости;;;;;;;;;
Сравнить новую стандартную себестоимость с предыдущей версией постатейно;Калькулятор;1200;6;1;7200;1;6;7200
Сравнить с фактическими данными за период;Калькулятор;1200;3;1;3600;1;3;3600
Выделить вклад каждой составляющей (материалы ставки накладные);Калькулятор;1200;4;1;4800;1;4;4800
Подготовить аналитическую справку с объяснением ключевых отклонений;Калькулятор;1200;8;2;9600;1;8;9600
Уточнить нетипичные отклонения у производства или снабжения;Координатор;1100;1;1;1100;0.5;0.5;550
Скорректировать входные данные и перезапустить расчёт при необходимости;Калькулятор;1200;4;1;4800;0.3;1.2;1440
ИТОГО — ШАГ 12;;;26;7;31100;;22.7;27190
ШАГ 13. Согласовать и утвердить новую себестоимость;;;;;;;;;
Подготовить пакет материалов для согласования (расчёт справка допущения цены);Калькулятор;1200;10;2;12000;1;10;12000
Разослать пакет в КБ ТБ производство снабжение финансы коммерцию;Координатор;1100;2;1;2200;1;2;2200
Ожидание ответов от служб;—;0;0;7;0;1;0;0
Направить напоминание службам не ответившим в срок;Координатор;1100;1;1;1100;0.8;0.8;880
Ожидание ответов после напоминания;—;0;0;3;0;0.8;0;0
Собрать и систематизировать замечания и вопросы от каждой службы;Координатор;1100;2;1;2200;1;2;2200
Ответить на уточняющие вопросы по методологии ценам и допущениям;Калькулятор;1200;4;2;4800;0.8;3.2;3840
Провести рабочее совещание при существенных разногласиях;Руководитель;2000;3;1;6000;0.3;0.9;1800
Скорректировать расчёт и направить на повторное согласование;Калькулятор;1200;4;1;4800;0.3;1.2;1440
Ожидание повторных ответов после доработки;—;0;0;3;0;0.3;0;0
Получить итоговое согласование от всех служб;Координатор;1100;1;1;1100;1;1;1100
Оформить протокол согласования с фиксацией допущений и решений;Координатор;1100;2;1;2200;1;2;2200
Передать протокол на утверждение уполномоченному руководителю;Координатор;1100;0.5;1;550;1;0.5;550
Получить подписанный протокол;Координатор;1100;0.5;1;550;1;0.5;550
