Этап;Сотрудник;Цена часа;Время в часах;Календарный срок в днях;Стоимость шага;Доля в выполнении;Удельное время;Удельная стоимость
ШАГ 1. Подтвердить актуальность конструкторской документации;;;;;;;;;
Запросить у КБ перечень действующих спецификаций и версий КД;ИИ-агент;0;0.1;1;0;1;0.1;0
Ожидание ответа от КБ;—;0;0;5;0;1;0;0
Направить напоминание КБ при отсутствии ответа;ИИ-агент;0;0;1;0;0.5;0;0
Получить перечень и проверить на полноту;Калькулятор;1200;0.5;1;600;1;0.5;600
Зафиксировать спецификации как базу расчёта;ИИ-агент;0;0.1;1;0;1;0.1;0
ИТОГО — ШАГ 1;;;0.7;9;600;;0.7;600
ШАГ 2. Подтвердить актуальность состава изделия;;;;;;;;;
Запросить у КБ подтверждение актуальности состава изделия и спецификаций;ИИ-агент;0;0.1;1;0;1;0.1;0
Ожидание ответа от КБ;—;0;0;5;0;1;0;0
Направить напоминание КБ при отсутствии ответа в срок;ИИ-агент;0;0;1;0;0.5;0;0
Получить ответ и зафиксировать отличия от предыдущего расчёта в составе изделия;Калькулятор;1200;0.5;1;600;1;0.5;600
Подтвердить что спецификации актуальны и можно переходить к сбору цен;Руководитель;2000;0.3;1;600;1;0.3;600
ИТОГО — ШАГ 2;;;0.9;9;1200;;0.9;1200
ШАГ 3. Уточнить перечень закупаемых материалов и комплектующих;;;;;;;;;
Выгрузить из спецификаций список покупных позиций с объёмами;ИИ-агент;0;0.2;1;0;1;0.2;0
Запросить у снабжения подтверждение объёмов и списка поставщиков;ИИ-агент;0;0.1;1;0;1;0.1;0
Ожидание ответа от снабжения;—;0;0;5;0;1;0;0
Направить напоминание снабжению;ИИ-агент;0;0;1;0;0.5;0;0
Сверить список с тем что реально проходит через производственный процесс;Ценовик;1200;0.5;1;600;1;0.5;600
Зафиксировать утверждённый перечень закупаемых позиций с объёмами;ИИ-агент;0;0.1;1;0;1;0.1;0
ИТОГО — ШАГ 3;;;0.9;10;600;;0.9;600
ШАГ 4. Подготовить и направить запрос КП поставщикам;;;;;;;;;
Подготовить запрос КП (перечень позиций объёмы условия поставки дедлайн);Ценовик;1200;1;1;1200;1;1;1200
Разослать запрос утверждённым поставщикам;ИИ-агент;0;0.1;1;0;1;0.1;0
Ожидание ответов поставщиков;—;0;0;10;0;1;0;0
Направить напоминание поставщикам не ответившим в срок;ИИ-агент;0;0;1;0;0.7;0;0
Ожидание ответов после напоминания;—;0;0;5;0;0.7;0;0
Получить КП и проверить каждое на полноту (цены сроки партии условия);Ценовик;1200;1;2;1200;1;1;1200
Направить уточняющие запросы при неполноте или неясности КП;ИИ-агент;0;0.1;1;0;0.6;0.06;0
Ожидание уточнений от поставщиков;—;0;0;5;0;0.6;0;0
Получить окончательные данные и подтвердить их достаточность;Ценовик;1200;0.3;1;360;1;0.3;360
ИТОГО — ШАГ 4;;;2.5;28;2760;;2.46;2760
ШАГ 5. Нормализовать цены и утвердить базовые закупочные цены;;;;;;;;;
Привести все КП к единой валюте по курсу на расчётную дату;ИИ-агент;0;0.1;1;0;1;0.1;0
Добавить транспортные и прочие сопутствующие расходы к ценам;ИИ-агент;0;0.2;1;0;1;0.2;0
Учесть условия минимальных партий и их влияние на удельную стоимость;ИИ-агент;0;0.1;1;0;1;0.1;0
Сформировать сравнительную таблицу по поставщикам для ключевых позиций;ИИ-агент;0;0.1;1;0;1;0.1;0
Выбрать и обосновать базовые цены по каждой позиции;Ценовик;1200;1;1;1200;1;1;1200
Передать базовые цены на согласование руководителю и финансовому отделу;ИИ-агент;0;0.1;1;0;1;0.1;0
Ожидание согласования базовых цен;—;0;0;3;0;1;0;0
Ответить на уточняющие вопросы по ценам;Ценовик;1200;0.5;1;600;0.7;0.35;420
Получить подтверждение базовых цен;ИИ-агент;0;0.1;1;0;1;0.1;0
Зафиксировать утверждённые цены в расчётных таблицах или системе;ИИ-агент;0;0.1;1;0;1;0.1;0
ИТОГО — ШАГ 5;;;2.3;13;1800;;2.15;1620
ШАГ 6. Обновить и подтвердить ставки оплаты труда и использования оборудования;;;;;;;;;
Направить запросы одновременно: в ОТиЗ — ставки труда по разрядам; в плановый отдел — ставки оборудования;ИИ-агент;0;0.1;1;0;1;0.1;0
Ожидание ответов от ОТиЗ и планового отдела;—;0;0;5;0;1;0;0
Направить напоминания при отсутствии ответа в срок;ИИ-агент;0;0;1;0;0.5;0;0
Получить ответы и сравнить ставки труда и оборудования с действующими в системе;Калькулятор;1200;0.5;1;600;1;0.5;600
Уточнить причины расхождений при их наличии;Координатор;1100;0.5;1;550;0.5;0.25;275
Внести скорректированные ставки в учётную систему;ИИ-агент;0;0.1;1;0;1;0.1;0
ИТОГО — ШАГ 6;;;1.2;10;1150;;0.95;875
ШАГ 7. Пересмотреть ставки распределения накладных расходов;;;;;;;;;
Запросить у ПЭО актуальные сметы и бюджеты по центрам затрат;ИИ-агент;0;0.1;1;0;1;0.1;0
Ожидание ответа от ПЭО;—;0;0;5;0;1;0;0
Направить напоминание ПЭО;ИИ-агент;0;0;1;0;0.5;0;0
Получить сметы и рассчитать ставки ОПР и ОХР по центрам затрат;Калькулятор;1200;1;2;1200;1;1;1200
Передать рассчитанные ставки на согласование плановому отделу и финансам;ИИ-агент;0;0.1;1;0;1;0.1;0
Ожидание согласования ставок;—;0;0;3;0;1;0;0
Ответить на уточняющие вопросы по ставкам;Калькулятор;1200;0.5;1;600;0.6;0.3;360
Получить подтверждение ставок;ИИ-агент;0;0.1;1;0;1;0.1;0
Зафиксировать утверждённые ставки в учётной системе;ИИ-агент;0;0.1;1;0;1;0.1;0
ИТОГО — ШАГ 7;;;1.9;16;1800;;1.7;1560
ШАГ 8. Рассчитать прямые материальные затраты по деталям и узлам;;;;;;;;;
Подготовить расчётные таблицы или настроить расчёт в учётной системе;ИИ-агент;0;0.1;1;0;1;0.1;0
Заполнить утверждёнными базовыми закупочными ценами;ИИ-агент;0;0.1;1;0;1;0.1;0
Выполнить расчёт по деталям сборочным единицам и узлам;ИИ-агент;0;0.1;1;0;1;0.1;0
